Username,Stars,Review Text,Review Date,Review Usefulness,Sentiment Label,Sentiment Score
J. Isabelle,3.0 out of 5 stars,"I have a feeling this is a problem with Echo integration and/or Amazon's web service but we have many things that work great with Alexa and this is by far the worst which I find really surprising. Most importantly, when we ask an Echo device to turn this light on or off, we have to do it 3, 4, and sometimes 5 times. What's strange is that ""her"" response to ""turn off 'Blah'"" is usually ""There is no device named 'Blah'"" over and over until it works. It always works eventually. I keep checking to make sure the name is what we think it is in the Alexa app.We can turn on and off every other light, fan, lock any lock, etc. using Alexa and it's great. This device seems to be the only hang up.All that said, the function of the device, when it works, is perfect for our daughter. The ""routine"" to start ramping up the light level in the morning when we want to wake her up is great but it doesn't start at the assigned time everyday and, with the voice integration being so shaky, I have to use the app to get it going some mornings.","Reviewed in the United States on January 30, 2020",No Data,NEGATIVE,0.9985756874084473
Jamie G.,1.0 out of 5 stars,"We have owned our Glow for about 6mo now. It lived on my 9yo bedside table next to his dot.Pro: Gradual wakeup and rainbow timer (+2 stars), super easy Alexa integration without needing to install another app (+2 stars).Con: Finicky voice commands (-1 star), overpriced for essentially a smart bulb (-1 star), and poor power supply cord execution (-1 star, see picture).As the photo shows, the power cord is connected directly to the Glow rather than have a separate pull out cord. This device has lived on my 9yo's nightstand with very little movement this entire time, and we have cord breakage. I can't imagine this will hold up to the preschool and toddler crowd. I'll have to use my engineering skills to fix the wiring when it finally gives out.tl;dr I wouldn't purchase again and wouldn't recommend for any household with kids younger than 8. Amazon fail.","Reviewed in the United States on October 16, 2020",No Data,NEGATIVE,0.998264729976654
normspo,4.0 out of 5 stars,"I had been following the Echo devices over the holidays, bought a few more.  I never even noticed this product.  A friend ended up giving it to me for a gift.  I think this would be a pretty cool notification device, changing colors based on events.  I think the Alexa app has enough features, and is extendable through IFTTT and other tools.I tried to do something simple through the Alexa controls--turn on at Sunset, turn off at 11PM.  I don't think it is actually working--the light is on the next morning.  So, not sure about it being reliable for notifications.Otherwise, it works great as a light, is voice controllable, touch works great.  It's reasonably bright for a night-light sort of effect.  So, great for kids, fun for a bit for adults.  We'll see if I can get it to do something actually useful.Oh, and it is super easy to set up, and just as easy if you move from one wifi network to another (tested at friend, then moved to my network).","Reviewed in the United States on January 14, 2020",No Data,NEGATIVE,0.8836653828620911
Jim Di Liddo,5.0 out of 5 stars,"I have one sitting on my nightstand to give the room a soft light for the dogs. I just ordered two more to use as accent lights throughout the house. I like the different colors you can set it to and the programmed sequences like Campfire are very cool.My only negative is the Alexa app. It's clunky, not simple enough to use and needs a re-engineering effort.In my opinion, Amazon should split device control from the Alexa app and make it a separate app.  And add Apple Shortcut functions so I can control ""scenes"" and devices from a single button on my iPhone.The only reason I keep buying Echo/Alexa devices instead of switching to Apple Home gear is the price for Alexa/Echo devices is more affordable and the number of different devices available. I love my Echo Input, which kept a small Bluetooth speaker from being moved into the ""junk drawer"" and I'm holding off in buying the Echo/Alexa Clock until it has a backlight or at least it can be read in a dark room. I like that I can buy ""starter items"" like the Input and the Dot and eventually move up to a more feature-rich device if I want to.So, a big thumps up for the Echo Glow and Dot and a ""Wait-and-see"" grade of C+ for the Alexa app.","Reviewed in the United States on October 14, 2020",No Data,NEGATIVE,0.581538200378418
M Hill,4.0 out of 5 stars,"our 10yr old loves this and enjoys changing up all the colors and pattterns it offers and it does make for a great nightlight if needed though you will need to adjust the brightness if you ever wish for them to sleep.  It came with very little instructions which is a downer when you are trying to learn all the functions it has to offer.  one feature I wish it had was a sleep timer and a parental control so I can make it STAY off at a certain point in the night.  We did have several weeks with an issue of it not responding in the app or to the echo dot and it took about 45 minutes of googling to figure out how to resolve the issue, a pain, but it is functioning properly once again.Overall, it's a fun device for the younger kiddos and we look forward to learning more of its functions","Reviewed in the United States on August 27, 2020",No Data,NEGATIVE,0.9866907596588135
Amazon Customer,3.0 out of 5 stars,"I have my pro and con for this light.First please make sure you read the description. We scored this light for $10 instead of $30 because Amazon gave us 20 off.I was looking for a nightlight for our child and this popped up so I decided to give it a go since it was cheap AND it was an Alexa.I didn't read that it was only a light. I assumed we could do normal Alexa stuff. Nope. It's just a light.Our child likes it. He taps it to turn it on and that's it. I can change it from my phone. I can set routines which couldn't figure out how to do more than 1. Also telling our other Alexa to set a timer for the light doesn't work half the time so I gave up on that. It just stays on all night.Controlling the light from the app doesn't work half the time as well. Brightness, colors. Its weird.","Reviewed in the United States on June 3, 2021",No Data,NEGATIVE,0.9921274185180664
Kevin J. Deissler,1.0 out of 5 stars,"So for all intents and purposes, this could be a great product. I really liked the features for my daughter's room. She loved it too. It worked fine during setup. Then it eventually became unresponsive. The chat support suggested I move it closer to the router. That was 10 feet away in the next room and when I removed the light and re-added it to my network, of course it worked, just like when I originally set it up. Worked great, again, during setup. However, when I walked away and tried to either turn off the light or turn it back on later, or create a routine for it to go off after my daughter was asleep, it was unresponsive. Sent it back, got a new one. Same thing. So it doesn't like my network, I guess, even though it will work, but not for a long duration. Because I can't call Amazon support due to them not receiving calls (which is kind of ridiculous for a company so large to not have IT work from home), this item is going back. Hopefully it works for others.","Reviewed in the United States on April 21, 2020",2 people found this helpful,POSITIVE,0.5220521092414856
TexasAgBelle,2.0 out of 5 stars,"I preordered 2 of these but then gave as Christmas gifts so I feel lucky I missed the hard set up days because this was a BREEZE to set up.  Why? Because we have amazon products all over and our WiFi password is saved.So I plugged it in scanned the code and boom it was ready!  This is the only reason it earns stars.It is just a lamp which is fine it’s what we wanted a soft glow lamp BUT for the price the interaction should be easier. Case point:In each of our girls rooms we have the glow lamp, a floor lamp, a table lamp, and the overhead light. All are connected to Alexa via hue or WiFi switch. The word Lamp is used in 3 of their names then Alexa gets confused. Say lights and all on or all off. We regularly want just a lamp on as we wind down for bed.I was hoping by selecting an echo glow lamp that I would just be able to say the command and not name the device too. It is way way too cumbersome for my young girls. Despite growing up with Alexa and well versed In Their use.","Reviewed in the United States on January 12, 2020",No Data,NEGATIVE,0.9938833713531494
Father of 4,4.0 out of 5 stars,"So I was mostly planning to use this for the kiddos. They are young enough to need a bunch of help in the morning and it helps if they are at least getting up by the time I get to their rooms. You can set a wake up alarm light timer thru the echo that will give the audio portion of the alarm. You can not set one thru the app, which is inconvenient as you have to remember to mention that it is a wake up alarm, with light x, for what days, and at what time. Then it will populate in your alarm and timer tab of the Alexa app. You cannot add a light to a pre-existing alarm. It must be a wake up timer and I have not been able to figure out how to get another color for the timer. I wanted to do green for the weekend so they don't get out of bed too early but that doesn't work (I actually wanted a gradually brightening red light that then turns green, no such luck).So basically it has a warm white light you can use for a wake up alarm, it can do a rainbow countdown alarm and otherwise it is a mood light.","Reviewed in the United States on November 24, 2019",No Data,NEGATIVE,0.9980461597442627
Anna C,5.0 out of 5 stars,Love this light. I love that it connects to my alexia and can change colors turn on and off all by my voice. I love that is has multiple colors to pick from. Easy to set up.  I love that I can set ot to come on or go off when needed by setting a timer on my echo.,"Reviewed in the United States on June 12, 2021",2 people found this helpful,POSITIVE,0.999815046787262
Allison Lundeen ,5.0 out of 5 stars,We use this to set rainbow timers to help our SPD kiddo calm down and it works great! They love playing with the different light modes and it works great as a nightlight in their room. Love it!,"Reviewed in the United States on December 13, 2019",One person found this helpful,POSITIVE,0.9998698234558105
michelle lovins,5.0 out of 5 stars,Ok,"Reviewed in the United States on July 20, 2021",No Data,POSITIVE,0.9997851252555847
JustACollegeStudent,5.0 out of 5 stars,I really like this for my nightstand! It adds alot of life to my space. Its bright and the colors are vibrant! Don't feel bad if your a adult buying this for yourself! Its so cool.,"Reviewed in the United States on July 26, 2020",No Data,POSITIVE,0.9998561143875122
Amazon Customer,5.0 out of 5 stars,Such a cute little light.,"Reviewed in the United States on December 10, 2020",No Data,POSITIVE,0.9998722076416016
Luehmann,5.0 out of 5 stars,"Could be a little brighter, but the kids love it as a nightlight.","Reviewed in the United States on July 7, 2020",No Data,POSITIVE,0.9996433258056641
Customer # 1,2.0 out of 5 stars,Doesn't do much lights up.,"Reviewed in the United States on October 18, 2020",No Data,NEGATIVE,0.9997814297676086
Brittany St. Clair,5.0 out of 5 stars,"I like that you have the ability to change the brightness level in the app. I can tell my alexa in another room, to turn on the nightlight ... Everything works great","Reviewed in the United States on February 4, 2021",No Data,POSITIVE,0.9997531771659851
Kevin Foo,5.0 out of 5 stars,"The Glow seems pitched as something for a child, but I think adults will enjoy it as well. The soothing light is very relaxing and fun.","Reviewed in the United States on December 18, 2019",No Data,POSITIVE,0.9998676776885986
D.R,5.0 out of 5 stars,Great,"Reviewed in the United States on February 1, 2021",No Data,POSITIVE,0.9998630285263062
Wangz,5.0 out of 5 stars,My kids love it. The light is soft and comfortable.,"Reviewed in the United States on August 31, 2020",No Data,POSITIVE,0.9998807907104492
Miss Kat,5.0 out of 5 stars,Update: I have now discovered what was causing problems. The colorful light cannot be sitting right next to Alexa dot!  I moved the exchange light to another shelf making it about a foot apart. Now it works as should and does not arbitrarily change its settings or color! I am concluding from this that this was the problem with the original light as well. Should this change and it not work again I will update again.Review when original light stopped working.Well until today I was very pleased with this product! Have had it a short time and it will now not respond to Alexa nor will it do any color other than white! And even that must be done manually!,"Reviewed in the United States on January 26, 2021",No Data,POSITIVE,0.823585033416748
Cassandra M.,3.0 out of 5 stars,"Originally purchased this to use in a nursery for middle of the night diaper changes. This isn't anything more than a smart colored lamp. It does have some cool functions (camp fire mode is very pretty). I think the value is okay, considering it is comparable to a Hue Color bulb.I'd prefer if it had a dot or full Echo built in to save space on the night stand. I think some of the advertising is/was misleading and some people are expecting that this has an Echo Dot built into the light, which is leading to some disappointment. To be clear, the device is simply a smart lamp, you'll need a smart speaker in addition to this lamp to actually use it. You can tap it to change between the various functions, and a button on the back turns it on and off. You can also speak to any of the smart speakers in your home to change functions, color, or turn it on and off. It's exactly like having a Hue Color Bulb in a normal lamp with some extra specialty lighting modes, and the inclusion of a hardware button to turn on/off.","Reviewed in the United States on November 24, 2019",No Data,NEGATIVE,0.5732020735740662
Lauren,4.0 out of 5 stars,"Do you have a kid who is getting out of bed and coming into your room before they are supposed to and already have an echo dot in their room? This thing actually does work pretty well for my purposes. I needed some kind of light that turned from red to green at a certain time, and then back to red when it was time for bedtime. This makes sense to my son who is 3. He will stay in bed until the light turns green and the second it does, he comes to get us. You can set up different routines for it to change colors and signal your child to keep on a schedule. I love having it but it was very difficult to figure out how to set it up. I ended up calling and the amazon rep helped me set up my schedules and get it working within minutes. If you’re just looking for a light this seems pretty expensive but it is great for a night light and schedule teacher for kids. It is just what the doctor ordered for sleep deprivation.","Reviewed in the United States on December 26, 2019",No Data,POSITIVE,0.9949969053268433
maldar,5.0 out of 5 stars,"This light is marketed more for children, but it is also great for adults as well.I was looking for one of those lights that are designed to wake you up naturally, but many of them are actually more expensive than this option and this one can do more that just be programed for that function.I like to set it to the campfire mode and use the campfire sounds played via my Amazon Echo Dot, which I find relaxing.If you have children, I think that this is a great light for its intended purpose, but consider it for use in an older child's room or an adult's. Don't let Amazon's marketing turn you off from this product as an option for an adult, they are missing out on a segment of buyers.","Reviewed in the United States on October 9, 2020",No Data,POSITIVE,0.9748474359512329
Pat Cain,5.0 out of 5 stars,So I bought this light knowing exactly what I was getting. Some people are extremely confused and think this is a standalone ALEXA item that has ALEXA built in... It is not. It is legit only a light... With me knowing that I still wanted it. I bought it for my daughters room as a night light. They constantly leave the main light on all night and never go to bed. I plugged it in my room first to set up since it was late and they were already in bed... Well. I haven't moved it out of my room yet. I love the thing. Its a nice little light that isnt too bright and I can get ready for work in the mornings without disturbing the wife sleeping. Also a nice mood light. Built in there is about 10 different themes as well accessible through the ALEXA app. Please buy this if your looking for a nice night light or any kind of colorful lighting for your home. It is a companion to your ALEXA devices only.,"Reviewed in the United States on December 30, 2019",No Data,NEGATIVE,0.9964863061904907
Missy,5.0 out of 5 stars,Update: Amazon called and got it working for me. There was an update to the device that I never saw. I had to erase the device again and redo all over again. Which is what I did three times when I first received it.But now it works perfectly! The new echo dot with time clock will turn the device on and off with the name we have our device. We love the changing color mode.Old: I cant turn it off with the app. Its on all the time unless I unplug it. I have tried restarting the syncing feature with the app several times when I received it but not recently. I bought the echo with the time function thinking it would pair with the light but it doesn't and I don't want to spend more money on the children's echo without a clock.,"Reviewed in the United States on December 13, 2019",One person found this helpful,POSITIVE,0.9952725768089294
Amazon Customer,1.0 out of 5 stars,"Had to re-add the device due to a WiFi password change. Once the device is set up, its held hostage until you agree to the parental controls,even if your account has previously agreed to these terms.When prompted, I try to login and the Alexa app crashes.Cleared data, reinstalled the app and rebooted the phone. Same result. On both of my devices.This is the last amazon device we are buying. Every single one has turned out to be a disappointment (From FireTV, to Recast).This device is now in the garbage.Clearly Amazon's priorities aren't making a quality product, but rather commoditizing its customers.","Reviewed in the United States on July 6, 2021",No Data,NEGATIVE,0.9998053908348083
